frame,t_s,torso_lean_deg,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
332,11.067,-40.217,-24.129,17.915,-47.079,4.196,-12.539,2.321,-43.625,70.672
333,11.100,-25.092,-22.909,35.105,-20.767,16.355,-14.676,28.004,-41.642,52.303
334,11.133,-27.576,-7.554,5.079,84.294,46.400,-0.274,4.162,-97.376,163.422
335,11.167,-22.050,-15.761,17.815,123.293,10.546,-9.724,33.219,84.282,39.212
336,11.200,-19.231,-13.742,17.531,98.271,36.733,-7.640,18.482,45.865,63.594
338,11.267,14.263,33.557,37.603,9.480,20.722,38.944,41.355,-14.547,9.453
339,11.300,-5.630,19.806,59.494,-15.061,5.580,34.151,67.571,-57.688,65.051
340,11.333,-2.984,21.476,48.566,35.184,57.900,31.467,58.652,-49.384,49.926
341,11.367,-8.259,22.060,46.832,95.815,32.060,26.678,48.282,-100.282,85.450
342,11.400,5.129,18.005,20.072,-147.107,2.912,-4.023,10.724,137.673,50.030
343,11.433,-9.388,17.398,36.830,157.794,10.786,37.978,58.396,-137.006,53.513
344,11.467,-9.059,-11.388,31.270,154.570,10.751,25.201,43.151,-120.496,65.162
345,11.500,9.800,14.161,33.111,-159.304,30.024,53.426,64.219,-82.824,50.967
347,11.567,-11.773,-0.016,51.998,-19.633,21.035,38.710,78.724,-33.940,15.876
348,11.600,-16.443,7.302,57.030,-34.567,6.880,34.155,76.255,-37.872,14.232
349,11.633,-17.958,10.113,58.393,-33.114,15.078,27.981,67.797,-34.202,21.406
350,11.667,-17.150,8.326,59.431,-32.153,19.106,29.811,70.027,-33.518,23.205
351,11.700,-17.351,10.478,64.013,-32.223,10.073,28.887,71.958,-37.579,8.644
352,11.733,-16.757,14.495,73.298,-30.215,18.844,30.883,73.542,-37.007,19.064
353,11.767,-16.539,15.925,76.056,-31.002,17.670,31.981,76.936,-36.809,16.881
354,11.800,-16.304,19.871,94.446,-30.926,15.815,30.988,72.416,-39.388,17.721
355,11.833,-15.702,21.618,95.838,-28.824,17.113,32.483,76.470,-39.215,19.235
356,11.867,-15.227,20.740,96.609,-27.380,15.611,32.595,82.007,-37.583,23.519
357,11.900,-15.203,21.217,99.996,-27.910,13.674,33.726,83.894,-39.949,19.542
358,11.933,-14.570,19.215,96.306,-26.383,16.823,33.030,79.038,-38.900,20.587
359,11.967,-14.466,20.208,96.663,-26.882,14.670,33.689,80.204,-40.013,17.853
360,12.000,-14.687,18.803,96.819,-27.168,15.434,33.211,80.044,-42.153,14.227
361,12.033,-15.060,18.827,96.772,-26.020,14.720,31.602,81.244,-41.184,16.479
362,12.067,-14.904,20.589,104.777,-26.493,10.673,33.731,102.193,-44.522,7.628
363,12.100,-16.546,19.651,103.500,-31.390,6.129,30.854,87.752,-45.878,10.411
364,12.133,-16.946,20.337,103.737,-30.733,6.497,29.821,86.009,-44.947,13.452
365,12.167,-16.773,20.671,107.010,-30.344,4.663,29.634,88.048,-44.548,13.326
366,12.200,-17.029,20.610,107.344,-31.812,3.290,30.365,86.991,-45.444,10.434
367,12.233,-16.969,20.678,107.558,-30.820,2.841,30.541,86.832,-44.313,14.648
368,12.267,-17.492,18.839,105.013,-32.364,6.723,30.248,77.899,-45.423,12.656
369,12.300,-17.813,19.024,107.523,-32.709,5.559,29.674,81.070,-44.768,16.669
