frame,t_s,torso_lean_deg,torso_up,hip_y,l_hip_pitch_deg,l_knee_deg,l_shoulder_pitch_deg,l_elbow_deg,r_hip_pitch_deg,r_knee_deg,r_shoulder_pitch_deg,r_elbow_deg
136,4.5333,-40.4268,0.7596,-0.0036,7.6754,37.5905,-86.5367,2.8954,13.4196,53.5485,-96.9206,34.2049
137,4.5667,-45.5043,0.6929,-0.0039,3.5857,38.2980,-101.5516,7.1083,7.1446,50.8174,-147.9593,161.9601
138,4.6000,-43.8250,0.7184,-0.0036,4.7133,38.3530,-96.0464,2.4874,11.0645,53.9542,-84.4360,22.3556
139,4.6333,-43.6279,0.7205,-0.0036,4.6542,37.9783,-95.0031,1.3819,10.8958,54.9369,-94.7523,93.9078
140,4.6667,-43.5718,0.7211,-0.0035,5.3840,38.9808,-92.1052,0.4273,11.8180,57.0664,-91.0130,17.3013
141,4.7000,-40.9849,0.7541,-0.0034,9.2291,42.3939,-84.9099,3.4621,18.9232,62.2181,-84.3380,22.1719
142,4.7333,-42.3414,0.7375,-0.0035,8.7657,44.0376,-88.9130,3.8813,16.5453,62.2729,-105.8949,43.4904
143,4.7667,-42.2094,0.7401,-0.0035,11.1591,47.3898,-86.0952,6.7980,20.2912,68.0690,-83.6096,31.8036
144,4.8000,-42.5061,0.7366,-0.0035,13.0597,50.7874,-87.0826,5.3466,19.5776,67.9123,-108.2265,39.7257
145,4.8333,-43.4611,0.7248,-0.0039,12.0170,51.4969,-95.9519,2.8855,17.4213,65.7571,-160.9189,109.4469
146,4.8667,-43.8280,0.7200,-0.0040,11.4475,51.6102,-97.2447,1.7570,17.5357,65.8905,-146.2409,110.0117
147,4.9000,-45.5220,0.6993,-0.0037,8.8978,50.7961,-94.4729,1.2238,16.3193,68.3012,-88.2279,35.5191
148,4.9333,-45.2634,0.7024,-0.0039,11.2165,54.6927,-96.1727,0.4255,19.0975,71.5226,-118.3239,131.8024
149,4.9667,-45.4842,0.6997,-0.0040,10.4512,53.6835,-98.5136,0.4097,19.3639,71.2264,-178.5647,85.3932
150,5.0000,-44.4447,0.7130,-0.0037,11.9089,54.1311,-93.1753,2.7216,22.2752,73.8957,-91.1843,21.6716
151,5.0333,-43.2320,0.7267,-0.0036,12.9675,55.3308,-91.7430,6.1001,23.2019,75.6800,-92.0730,94.4299
152,5.0667,-40.2400,0.7627,-0.0035,15.9153,55.2383,-85.6747,4.2516,25.6616,75.1367,-91.6370,20.3865
153,5.1000,-42.5974,0.7336,-0.0035,13.9890,56.0043,-90.3094,2.7728,22.6162,74.0876,-86.3716,32.6487
154,5.1333,-44.0913,0.7131,-0.0034,13.9362,57.9560,-93.5398,3.2570,22.8122,76.2446,-88.6741,28.7580
155,5.1667,-43.5302,0.7193,-0.0034,15.8967,59.5093,-93.7885,5.1264,24.9478,76.9852,-115.7190,98.2346
156,5.2000,-43.9755,0.7131,-0.0034,15.4657,60.0627,-94.6955,3.0227,22.7008,74.1031,-93.1510,16.7372
157,5.2333,-43.5176,0.7206,-0.0034,15.7144,60.1686,-93.1794,3.0503,23.6431,75.2262,-92.2923,17.6076
158,5.2667,-44.7221,0.7058,-0.0034,14.2344,60.4321,-96.8245,0.5216,21.9477,75.2191,-96.1288,23.9236
159,5.3000,-44.9216,0.7044,-0.0035,15.0579,61.1502,-97.0573,1.5550,23.5029,78.2602,-104.7122,29.7480
160,5.3333,-44.8754,0.7034,-0.0034,17.8003,66.8865,-97.4737,1.3374,25.3738,81.5000,-95.0683,20.6175
161,5.3667,-45.4358,0.6966,-0.0034,17.6841,67.9576,-98.6948,2.9816,25.4159,82.5761,-96.5648,22.6339
162,5.4000,-45.4163,0.6953,-0.0034,18.7653,70.5246,-99.2601,3.1140,25.9284,84.5127,-95.7582,20.5007
163,5.4333,-45.8397,0.6848,-0.0036,15.6009,70.3309,-113.7929,19.5982,23.6608,82.9553,-95.1299,18.8487
164,5.4667,-45.6867,0.6847,-0.0036,18.9538,73.0413,-107.0406,0.8410,26.8835,87.3159,-93.6044,21.4415
165,5.5000,-44.5779,0.6991,-0.0035,18.3401,72.0442,-105.7596,7.3935,26.0463,85.5390,-88.7275,24.9306
166,5.5333,-45.1122,0.6908,-0.0036,18.9602,73.2754,-101.6756,2.2158,27.1280,87.0540,-92.2071,18.6288
167,5.5667,-45.0938,0.6895,-0.0036,14.2902,69.2512,-110.3617,4.0608,22.9987,82.2367,-87.9925,23.6690
168,5.6000,-43.9821,0.7123,-0.0035,17.9283,70.7423,-103.4156,4.5561,28.1085,88.6500,-91.5704,27.2356
169,5.6333,-43.3866,0.7190,-0.0035,18.8982,71.4194,-102.0013,5.4222,29.0553,89.9952,-93.7952,27.5902
170,5.6667,-42.3416,0.7315,-0.0033,20.3203,73.8424,-97.0059,3.9372,29.1891,89.8698,-86.2988,28.8407
171,5.7000,-41.4188,0.7392,-0.0033,22.6559,75.0731,-95.2177,3.2779,31.2350,90.8948,-84.9357,29.1159
172,5.7333,-41.0254,0.7453,-0.0033,21.9304,73.7574,-93.6219,5.0376,31.0808,89.4171,-81.2972,29.7503
173,5.7667,-40.4246,0.7505,-0.0032,23.0776,75.3007,-98.4342,1.5192,32.0800,90.3663,-78.8237,32.2445
174,5.8000,-41.4867,0.7385,-0.0033,21.9846,74.8278,-98.2003,7.7415,30.9401,90.2432,-81.9412,29.8991
175,5.8333,-42.4230,0.7283,-0.0033,21.0170,74.3181,-97.5950,5.6861,30.3382,90.6044,-83.5570,28.5207
176,5.8667,-43.8576,0.7113,-0.0033,18.4166,73.3626,-104.2041,44.6798,27.6106,88.7784,-82.8642,30.2372
177,5.9000,-45.1325,0.6964,-0.0033,19.8905,74.7915,-100.5523,3.1686,29.6751,93.6475,-88.5008,28.7316
178,5.9333,-44.8802,0.6997,-0.0033,18.3469,74.1035,-98.0500,3.1192,27.3222,91.2282,-85.8427,30.9218
179,5.9667,-44.7719,0.7018,-0.0034,20.2949,75.1313,-97.9504,3.5794,30.6461,94.3918,-88.4220,27.0148
180,6.0000,-43.7778,0.7135,-0.0034,20.9684,75.5218,-114.6391,71.7918,31.2040,92.6907,-84.9587,29.1979
